t_ms,s
5�50,960

33215,953

33265,953

33315,953

33366,953

33416,953

33466,953

33516,953

33566,953

33616,953

33666,953

33716,953

33766,953

33816,953

33866,953

33916,953

33966,953

34016,953

34066,953

34116,953

34166,953

34216,953

34266,953

34316,953

34366,953

34416,953

34466,953

34516,953

34566,953

34616,953

34666,953

34716,953

34766,953

34816,953

34866,953

34916,953

34966,953

35016,953

35066,953

35116,953

35166,953

35216,953

35266,953

35316,953

35366,953

35416,953

35466,953

35516,953

35566,953

35616,953

35666,950

35716,952

35766,953

35816,953

35866,953

35916,954

35966,953

36016,952

36066,954

36116,955

36166,956

36216,955

36267,955

36317,955

36367,955

36417,955

36467,955

36517,954

36567,954

36617,954

36667,954

36717,955

36767,954

36817,954

36867,954

36917,954

36967,954

37017,955

37067,954

37117,954

37167,954

37217,954

37267,954

37317,954

37367,954

37417,954

37467,954

37517,954

37567,955

37617,954

37667,955

37718,955

37768,955

37818,955

37868,955

37918,955

37968,955

38018,955

38068,955

38118,955

38168,955

38218,954

38268,955

38318,954

38368,955

38418,955

38468,955

38518,955

38568,955

38618,955

38668,955

38718,955

38768,955

38818,956

38868,955

38918,955

38968,955

39018,955

39068,955

39118,955

39168,955

39218,955

39268,955

39318,955

39368,956

39418,955

39468,955

39518,955

39568,955

39618,955

39668,955

39718,955

39768,955

39818,955

39868,955

39918,956

39968,955

40018,955

40068,955

40118,956

40168,957

40218,957

40268,958

40318,958

40368,958

40418,958

40468,959

40518,958

40568,958

40619,958

40669,958

40719,958

40769,958

40819,958

40869,959

40919,958

40969,958

41019,959

41069,959

41119,958

41169,959

41219,958

41269,959

41319,959

41369,958

41419,959

41469,959

41519,958

41569,960

41619,959

41669,959

41719,959

41769,958

