ID,Tu Semestre Actual,Eres originario de Guadalupe Victoria?,El Tecnológico de los Llanos fue tu:,¿Por qué elegiste esta institución? (elige máximo 3),"Si no fue tu primera opción, ¿cuál fue el motivo principal?",Ingeniería Mecatrónica fue tu:,Motivo principal para elegir Mecatrónica ,"Antes de ingresar, tu conocimiento sobre la carrera era:",Percepcion de Calidad académica general de la carrera,Como consideras el nivel de los docentes,Preparación técnica que estás recibiendo,Actualización tecnológica de contenidos,uso de laboratorio y practicas,Vínculo con el sector productivo,¿Qué deberían mejorar los docentes? (máximo 2),Como sientes el Nivel de exigencia académica actual:,Participación en concursos de robótica/tecnología,Participación en proyectos de investigación,Que tan importante es para ti los Deportes institucionales,Que tan importante es para ti las Actividades culturales,Que tan importante es para ti los Clubes estudiantiles ,¿Has participado en alguna actividad extracurricular?,"Si no participas, el motivo principal es:",¿Has pensado en dejar la carrera?,Motivos que podrían llevarte a dejar la carrera (máximo 3):,Nivel de satisfacción general con la carrera:
44,2°,Si,2da opcion,Cercanía a mi domicilio;Costo accesible;Becas disponibles;,No aplica,2da opción,Campo laboral ampli,Claro,Excelente,Excelente,Excelente,Excelente,Buena,Buena,No considero que haya áreas críticas;,Adecuado,Algo Importante,Muy Importante,Importante,Importante,Algo Importante,Si,Trabajo,Nunca,Problemas económicos,Satisfecho
45,2°,No,2da opcion,Costo accesible;Recomendación de familiares y amigos;Oferta de la carrera;,Cambié de interes,1er opción,Interés en Programación,Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Mejor explicación teórica;,Adecuado,Importante,Importante,Algo Importante,Algo Importante,Importante,Si,No hay suficientes opciones,Nunca,Bajo rendimiento académico,Muy satisfecho
46,4°,No,1er opcion,Prestigio académico ;Recomendación de familiares y amigos;Otra;,No aplica,1er opción,Interés en automatización Industrial,Muy Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Mejor comunicación;No considero que haya áreas críticas;,Muy Alto,Importante,Importante,Importante,Algo Importante,Muy Importante,Si,Trabajo,Una vez,Problemas económicos,Satisfecho
47,6°,No,1er opcion,Cercanía a mi domicilio;Costo accesible;Recomendación de familiares y amigos;,No aplica,1er opción,Campo laboral ampli,Muy Limitado,Buena,Buena,Buena,Buena,Regular,Regular,Mejor explicación teórica;Mejor comunicación;,Alto,Algo Importante,Algo Importante,Importante,Algo Importante,Algo Importante,Si,Falta de tiempo,Una vez,Problemas económicos,Satisfecho
48,4°,Si,1er opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;Oferta de la carrera;,No aplica,1er opción,Campo laboral ampli,Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,No considero que haya áreas críticas;,Alto,Importante,Importante,Importante,Importante,Importante,No,No aplica,No aplica,Bajo rendimiento académico,Muy satisfecho
49,4°,No,2da opcion,Cercanía a mi domicilio;Recomendación de familiares y amigos;Instalaciones;,Motivos económicos ,1er opción,Interés en Robótica,Poco Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Más uso de software especializado;,Adecuado,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Si,Falta de tiempo,Una vez,Estrés o carga excesiva,Muy insatisfecho
50,4°,Si,3er opción o más ,Cercanía a mi domicilio;,Cambié de interes,1er opción,Recomendación externa,Muy Limitado,Excelente,Excelente,Excelente,Buena,Buena,Buena,Mejor explicación teórica;Mejor comunicación;,Adecuado,Importante,Importante,No aplica,Poco importante,Poco importante,Si,Falta de tiempo,Una vez,Problemas económicos,Muy satisfecho
51,6°,No,2da opcion,Otra;,No aplica,1er opción,Todas las anteriores ,Poco Claro,Regular,Buena,Buena,Regular,Buena,Buena,No considero que haya áreas críticas;Mejor comunicación;,Adecuado,Muy Importante,Importante,Poco importante,Algo Importante,Algo Importante,Si,No aplica,Varias veces,Falta de motivación,Satisfecho
52,4°,No,1er opcion,Prestigio académico ;Cercanía a mi domicilio;Recomendación de familiares y amigos;,No aplica,1er opción,Interés en Programación,Muy Claro,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Mayor práctica en laboratorio;Mejor explicación teórica;,Adecuado,Muy Importante,Muy Importante,Muy Importante,Muy Importante,Muy Importante,No,No aplica,No aplica,Problemas personales,Muy insatisfecho
53,8°,No,1er opcion,Recomendación de familiares y amigos;,No aplica,1er opción,Interés en Electrónica,Claro,Regular,Mala,Mala,Regular,Regular,Regular,Mejor explicación teórica;Mejor comunicación;,Muy Alto,Importante,Importante,Poco importante,Poco importante,Algo Importante,Si,No hay suficientes opciones,Una vez,Problemas económicos,Neutral
